# Model:              M2B
# Version:            COMSOL 5.5.0.359
# Date:               Apr 10 2020, 22:48
# Table:              
# Time (adim)                                    Temperature (K) - Center                          Temperature (K) - Bottom                          Rayleigh number
1.9402031250000003                                0.6252198509216644                                0.6310391791003552                                0.016326624853860723
1.9446328125000003                                0.625196420440052                                 0.6310028286809861                                0.016255891341543916
1.9490625000000001                                0.6251731986996467                                0.6309667652724891                                0.016185908808167337
1.9534921875000002                                0.6251501857004491                                0.6309309888748588                                0.016116672418885664
1.9579218750000003                                0.6251273814424589                                0.6308954994880953                                0.016048177396799094
1.9623515625000003                                0.625104785925676                                 0.6308602971122022                                0.015980419022453375
1.9667812500000001                                0.6250823991501004                                0.6308253817471752                                0.015913392633336184
1.9712109375000002                                0.6250602211157326                                0.6307907533930178                                0.01584709362340336
1.9756406250000003                                0.6250382518225719                                0.6307564120497299                                0.015781517442595056
1.9800703125000003                                0.6250164912706189                                0.6307223577173076                                0.015716659596355344
1.9845000000000002                                0.6249949394598728                                0.6306885903957536                                0.015652515645181084
1.9889296875000002                                0.6249735963903347                                0.6306551100850698                                0.015589081204150293
1.9933593750000003                                0.6249524620620037                                0.6306219167852547                                0.015526351942465533
1.9977890625                                      0.6249315364748802                                0.6305890104963047                                0.01546432358300711
2.0022187500000004                                0.6249108196289639                                0.6305563912182262                                0.01540299190190477
2.0066484375                                      0.6248903115242554                                0.6305240589510152                                0.01534235272807427
2.011078125                                       0.624870012160754                                 0.6304920136946721                                0.015282401942807422
2.0155078125                                      0.6248499215384604                                0.6304602554491976                                0.015223135479339744
2.0199375                                         0.6248300396573738                                0.6304287842145889                                0.01516454932242866
2.0243671875                                      0.6248103665174947                                0.6303975999908518                                0.015106639507950591
2.0287968750000003                                0.6247909021188232                                0.6303667027779811                                0.015049402122473125
2.0332265625000003                                0.6247716464613591                                0.6303360925759803                                0.014992833302876032
2.0376562500000004                                0.6247525995451024                                0.6303057693848454                                0.014936929235930436
2.0420859375                                      0.6247337613700528                                0.6302757332045802                                0.014881686157932176
2.046515625                                       0.624715131936211                                 0.6302459840351815                                0.014827100354291271
2.0509453125                                      0.6246967112435764                                0.6302165218766528                                0.014773168159174507
2.055375                                          0.6246784992921492                                0.6301873467289935                                0.014719885955110016
2.0598046875000002                                0.6246604960819298                                0.6301584585922011                                0.01466725017262539
2.0642343750000003                                0.6246427016129177                                0.6301298574662767                                0.014615257289888012
2.0686640625000003                                0.6246251158851126                                0.6301015433512193                                0.014563903832333972
2.0730937500000004                                0.6246067565162341                                0.6300721863970823                                0.01451070800045422
2.0775234375                                      0.6245884312237915                                0.6300428800102811                                0.014457715094161301
2.081953125                                       0.6245702489627551                                0.630013771683052                                 0.014405198034435567
2.0863828125                                      0.6245522097331255                                0.6299848614153976                                0.014353154330086482
2.0908125                                         0.6245343135349017                                0.6299561492073159                                0.014301581515159872
2.0952421875000002                                0.6245165603680847                                0.6299276350588098                                0.014250477148771645
2.0996718750000003                                0.6244989502326743                                0.6298993189698766                                0.014199838814924445
2.1041015625000004                                0.62448148312867                                  0.6298712009405184                                0.014149664122338477
2.1085312500000004                                0.6244641590560722                                0.6298432809707305                                0.014099950704274791
2.1129609375                                      0.6244469780148805                                0.629815559060521                                 0.014050696218381543
2.117390625                                       0.6244299400050957                                0.6297880352098811                                0.01400189834649355
2.1218203125                                      0.6244130450267171                                0.629760709418817                                 0.013953554794506464
2.12625                                           0.6243962930797449                                0.6297335816873256                                0.013905663292179555
2.1306796875000003                                0.6243796841641791                                0.62970665201541                                  0.013858221592993426
