% Model:              M1_case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 23 2020, 18:38
% Table:              
% Time (adim)                                       Temperature (K) - Center                          Temperature (K) - Bottom                          Rayleigh
0.35880468750000005                               0.6702228466105025                                0.7107175371642355                                10.789685474330147
0.36323437500000005                               0.6691277285752557                                0.7092664034458854                                9.952093536229896
0.36766406250000006                               0.6680444777579284                                0.707831554702376                                 9.184828997166179
0.37209375000000006                               0.6669724835612474                                0.7064119779016357                                8.481207967658296
0.37652343750000006                               0.6659119251148091                                0.7050079702346841                                7.835832602889975
0.38095312500000006                               0.6648628756360369                                0.7036196531753663                                7.2436916746115605
0.38538281250000006                               0.6638248204679591                                0.7022461903430937                                6.699848680791738
0.38981250000000006                               0.6627978115714948                                0.7008876661807198                                6.200200848155137
0.39424218750000006                               0.6617819644065128                                0.6995442683246696                                5.741037069033379
0.39867187500000006                               0.6607768514038863                                0.698215314988384                                 5.318694616948325
0.40310156250000007                               0.6597824108867809                                0.696900707824169                                 4.930042491900535
0.40753125000000007                               0.6587987951067173                                0.6956006896068996                                4.572319634673945
0.41196093750000007                               0.6578256555357092                                0.6943147143958182                                4.2427962536883035
0.41639062500000007                               0.6568628290935821                                0.6930425267390897                                3.93907327020252
0.42082031250000007                               0.6559104999003953                                0.691784415045821                                 3.659087090817402
0.42525                                           0.6549683912062361                                0.6905399530778943                                3.4007943477056597
0.4296796875                                      0.6540362496352436                                0.6893087505968903                                3.1623493479898968
0.434109375                                       0.6531142866879955                                0.6880911333467543                                2.9422028495385573
0.4385390625                                      0.652202290817073                                 0.6868867807250262                                2.7388187719667263
0.44296875                                        0.6512999285311483                                0.6856951873219244                                2.5507714497290563
0.4473984375                                      0.6504074345723012                                0.6845167088916587                                2.3768926280127114
0.451828125                                       0.6495246565942052                                0.6833511180791247                                2.2160227425606855
0.4562578125                                      0.648651190421488                                 0.682197811710371                                 2.067056181696168
0.4606875                                         0.6477872901794273                                0.6810571690310383                                1.9291081145872717
0.46511718750000003                               0.6469327845677655                                0.6799289402596249                                1.8012879465907532
0.46954687500000003                               0.646086864560222                                 0.6788119457143181                                1.6826854808360678
0.47397656250000003                               0.6452499986648856                                0.6777068685502698                                1.572667197533007
0.47840625000000003                               0.6444221868817572                                0.6766137087674785                                1.4705755990352762
0.48283593750000003                               0.6436034292108359                                0.6755324663659467                                1.375805671419917
0.48726562500000004                               0.6427937256521217                                0.6744631413456735                                1.2878005658640943
0.49169531250000004                               0.6419930591541165                                0.673405709431921                                 1.2060457977450743
0.49612500000000004                               0.6412001251190196                                0.6723583133822173                                1.1299369200044311
0.5005546875000001                                0.6404158742539399                                0.671322306635619                                 1.059154147811959
0.504984375                                       0.6396403065588769                                0.6702976891921294                                0.9933015942572373
0.5094140625000001                                0.6388734220338312                                0.6692844610517511                                0.9320141285153367
0.51384375                                        0.6381152206788028                                0.6682826222144805                                0.8749549073560927
0.5182734375000001                                0.6373657024937911                                0.6672921726803187                                0.8218131097053203
0.522703125                                       0.6366233730236619                                0.6663110131634413                                0.7721973748466551
0.5271328125000001                                0.6358889425057015                                0.6653401413458999                                0.7259075575862138
0.5315625                                         0.6351626797050933                                0.6643799347665923                                0.6827234286203646
0.5359921875000001                                0.6344445846218374                                0.6634303934255168                                0.6424228776627684
0.540421875                                       0.6337346572559341                                0.6624915173226746                                0.6048004453788012
0.5448515625000001                                0.6330328976073836                                0.6615633064580639                                0.5696660310578133
0.54928125                                        0.6323382018409343                                0.6606442393275946                                0.5367900916907472
0.5537109375000001                                0.6316506336605332                                0.6597344037394928                                0.5060214601636875
0.5581406250000001                                0.6309707266518374                                0.658834535177392                                 0.47723972395184594
0.5625703125000001                                0.6302984808148469                                0.6579446336412886                                0.45030779254747627
0.5670000000000001                                0.6296338961495622                                0.6570646991311901                                0.4250985103039112
0.5714296875                                      0.6289769726559831                                0.6561947316470893                                0.40149390999541784
0.5758593750000001                                0.628326986027459                                 0.6553337504049414                                0.3793596713723083
0.5802890625                                      0.6276834246681902                                0.654481062652579                                 0.35858142934930515
0.5847187500000001                                0.6270470397993111                                0.6536376856189722                                0.3390940220563845
0.5891484375                                      0.6264178314208222                                0.6528036193041197                                0.3208115699528867
0.5935781250000001                                0.625795799532723                                 0.6519788637080227                                0.3036542065126893
0.5980078125                                      0.625180944135014                                 0.6511634188306797                                0.28754764113461223
0.6024375000000001                                0.6245728763427203                                0.6503567662168603                                0.2724131626723509
0.6068671875                                      0.6239705994127214                                0.649557577024575                                 0.2581645131831048
0.6112968750000001                                0.6233750387930304                                0.6487670850463164                                0.24476716208254465
0.6157265625                                      0.6227861944836472                                0.6479852902820862                                0.2321665203271861
0.6201562500000001                                0.622204066484572                                 0.6472121927318822                                0.22031169019118388
0.6245859375                                      0.621628654795805                                 0.6464477923957065                                0.20915520577987215
0.6290156250000001                                0.6210598587999094                                0.6456919568887306                                0.19865097746795307
0.6334453125                                      0.6204962832090826                                0.6449428503965965                                0.18873398001552358
0.6378750000000001                                0.6199389886631748                                0.6442018684291486                                0.17938664239604057
0.6423046875                                      0.619387975162186                                 0.6434690109863874                                0.1705737691105888
0.6467343750000001                                0.6188432427061161                                0.642744278068315                                 0.1622624623473865
0.6511640625                                      0.6183047912949653                                0.642027669674927                                 0.15442196584039988
0.6555937500000001                                0.6177726209287333                                0.6413191858062277                                0.14702351967697636
0.6600234375                                      0.6172454452165512                                0.6406171522274307                                0.14002375134049921
0.6644531250000001                                0.6167239972403809                                0.6399225230430413                                0.13340867623902505
0.6688828125                                      0.6162084196372086                                0.6392354838947696                                0.12715720098126299
0.6733125000000001                                0.6156987124070348                                0.6385560347826165                                0.12124776885501062
0.6777421875                                      0.6151948755498595                                0.6378841757065842                                0.11566017756247755
0.6821718750000001                                0.6146969090656829                                0.6372199066666687                                0.1103754904809734
0.6866015625                                      0.6142038844384483                                0.6365620297135114                                0.10536695041428239
0.6910312500000001                                0.6137159991704699                                0.6359107996599039                                0.10062089318479153
0.6954609375                                      0.6132335975768826                                0.6352666607330576                                0.09612556711282652
0.6998906250000001                                0.6127566796576867                                0.6346296129329723                                0.09186665855404189
